Res_prop	P	Cell_range	Effect	Method	PANEL	COORD	group	AUROC
Prop_0.25	75	Medium	0.000125	MIMOSA2	1	1	-1	0.892887949039264
Prop_0.25	75	Medium	0.00025	DiD Baseline	1	1	-1	0.856756474519633
Prop_0.25	75	Medium	0.00025	MIMOSA2	1	1	-1	0.890366541353385
Prop_0.25	75	Medium	5e-04	DiD Baseline	1	1	-1	0.878659670008354
Prop_0.25	75	Medium	5e-04	MIMOSA2	1	1	-1	0.915528926482874
Prop_0.25	75	Medium	0.001	DiD Baseline	1	1	-1	0.898925438596491
Prop_0.25	75	Medium	0.001	MIMOSA2	1	1	-1	0.9481458855472
Prop_0.25	75	Low	6.25e-05	DiD Baseline	1	1	-1	0.720972222222222
Prop_0.25	75	Low	6.25e-05	MIMOSA2	1	1	-1	0.760693400167087
Prop_0.25	75	Low	0.000125	DiD Baseline	1	1	-1	0.742859753550543
Prop_0.25	75	Low	0.000125	MIMOSA2	1	1	-1	0.77778822055138
Prop_0.25	75	Low	0.00025	DiD Baseline	1	1	-1	0.775395781119465
Prop_0.25	75	Low	0.00025	MIMOSA2	1	1	-1	0.815054824561406
Prop_0.25	75	Low	5e-04	DiD Baseline	1	1	-1	0.788601712614871
Prop_0.25	75	Low	5e-04	MIMOSA2	1	1	-1	0.830589494569758
Prop_0.25	75	Low	0.001	DiD Baseline	1	1	-1	0.850590538847118
Prop_0.25	75	Low	0.001	MIMOSA2	1	1	-1	0.898571428571431
Prop_0.25	100	High	6.25e-05	DiD Baseline	1	1	-1	0.858301366843034
Prop_0.25	100	High	6.25e-05	MIMOSA2	1	1	-1	0.90205329585538
Prop_0.25	100	High	0.000125	DiD Baseline	1	1	-1	0.877514054232804
Prop_0.25	100	High	0.000125	MIMOSA2	1	1	-1	0.916175044091711
